sample_id,stratum,orig_idx,cityname,state,price,square_feet,bedrooms,bathrooms,amenity_count,price_vs_zori_ratio,snorkel_proba_scam,snorkel_label,lfs_fired,title,body,true_label,note
16,high,39071,Los Angeles,CA,1020.0,250,0.0,1.0,7,0.5618494767624914,0.797809160185511,1,zori_low(SCAM); long_detailed_body(NOT_SCAM),Experience Urban Living WITHOUT the high cost of living in Downtown.,"Built in the 1920's and formerly known as Kipling, this hip and comfortable studio home is full of historical charm. Enjoy our newly upgraded amenities, state of the art fitness facilities or venture off to nearby parks in this walkable neighborhood. Anthony Bourdain did a special about Koreatown, and it definitely is an up and coming neighborhood. "" - Review by Charity C Yelp Package Receiving, Management office onsite, Night Patrol, Availability 24 Hours, Free Weights, Controlled Access/Gated, Walkable Neighborhood, Adjacent to Mid Wilshire and Downtown LA, Historial 1920's Building, Clean and Elegant Lobby, Walkable distance to Grocery and Dining, Professional and Caring Management, Elevator, Fitness facilities with Mirrored Walls, Historic Building, Laundry area, On-Site Maintenance, Near Metro Local Line, Spanish Speaking Staff, Window Coverings, Air conditioning, Cable/DSL Ready, Ceiling Fan, Upgrade Interiors, New Cabinets, Kitchenette, Generous Closet Space, Refrigerator. Pets are not allowed.",not_scam,aggregator-platform listing or standard income-verification language
17,high,49501,Cleveland,OH,675.0,320,1.0,1.0,2,0.8616132481230356,0.9027430873506622,1,zori_low(SCAM),Cleveland Luxurious Studio + 1,"Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities included: Cable, Electric, Gas, Hot Water, Internet, Sewer, Trash, Water. More units available: 0 Bd / 1 Bedrooms 448 sq-ft for $775/mo | 0 Bd / 1 Bedrooms 387 sq. feet for $700/mo | 0 Bd / 1 Bedrooms 481 sq. feet for $875/mo",not_scam,aggregator-platform listing or standard income-verification language
18,high,16104,Temple Hills,MD,1168.0,600,1.0,1.0,1,,0.7001305205514512,1,price_anomaly(SCAM),One BA \ One BR - convenient location. Cat OK!,"Very Convenient Location Close to The Beltway, Wilson Bridge & Washington, DC National ! Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities included: Electric, Gas. Parking Info: We have free, unreserved parking spaces on our surface lots no garages. Residents must display a current, community-issued times. Visitors may park anywhere on-site from 6: 00 AM - 12: 00 midnight, after which they must park in designated spaces or display a current, community-issued visitor permit. More units available: two Bd / 1 Bedrooms 825 sq. feet for $1,288/mo | one Bd / 1 Bedrooms 720 square feet for $1,248/mo | two Bd / 1 Bedrooms 945 sq-ft for $1,398/mo | one Bd / 1 Bedrooms 600 square ft for $1,199/mo | three Bd / 2 Bedrooms 1,135 sq. feet for $1,546/mo |",not_scam,aggregator-platform listing or standard income-verification language
19,high,794,Nashville,TN,1796.0,634,1.0,1.0,5,1.1142317498728451,0.9999549012097572,1,auto_template_body(NOT_SCAM),One BR 3102 Belwood St,"This unit is located at 3102 Belwood St, Nashville, 37203, TNMonthly rental rates range from $1796We have 1 beds units available for rent",not_scam,aggregator-platform listing or standard income-verification language
20,high,3792,Mequon,WI,1595.0,954,1.0,1.0,9,,0.9999549012097572,1,auto_template_body(NOT_SCAM),One BR 6300 W Mequon Rd,"This unit is located at 6300 W Mequon Rd, Mequon, 53092, WIMonthly rental rates range from $1595 - $2495We have one - three beds units available for rent Apartment features include:-- In-Unit Laundry- Dishwasher- Controlled Access- Storage- Air conditioned- Balcony, Deck, Patio- Sheltered parking- Fitness facilities",not_scam,aggregator-platform listing or standard income-verification language
21,high,1948,Ann Arbor,MI,4430.0,2995,6.0,2.5,0,2.573796440345806,0.9999549012097572,1,auto_template_body(NOT_SCAM),Six BR 1537 Packard St,"This unit is located at 1537 Packard St, Ann Arbor, 48104, MIMonthly rental rates range from $4430We have 6 beds units available for rent",not_scam,aggregator-platform listing or standard complex marketing
22,high,4735,Reno,NV,1334.0,708,1.0,1.0,1,1.0709344060765,0.9999549012097572,1,auto_template_body(NOT_SCAM),One BR 1001 S Meadows Pkwy,"This unit is located at 1001 S Meadows Pkwy, Reno, 89521, NVMonthly rental rates range from $1334 - $2367We have one - three beds units available for rent Apartment features include:-- Sheltered parking- Fitness facilities",not_scam,aggregator-platform listing or standard complex marketing
23,high,2372,Buford,GA,1070.0,828,1.0,1.0,5,0.8232555164501486,0.9999549012097572,1,auto_template_body(NOT_SCAM),One BR 2910 Buford Drive Ne,"This unit is located at 2910 Buford Drive Ne, Buford, 30519, GAMonthly rental rates range from $1070 - $1318We have one - three beds units available for rent Apartment features include:-- Internet Included- Surface Parking- Sheltered parking- Pool- Fitness facilities- On-Site Laundry- Dishwasher- Refrigerator",not_scam,aggregator-platform listing or standard complex marketing
24,high,3852,Fenton,MO,784.0,780,2.0,1.0,10,,0.9999549012097572,1,auto_template_body(NOT_SCAM),Two BR 1054 Green Mountain Ct.,"This unit is located at 1054 Green Mountain Ct., Fenton, 63026, MOMonthly rental rates range from $784We have 2 beds units available for rent Apartment features include:-- Dishwasher- Fitness facilities- On-Site Laundry- Garbage Disposal- Refrigerator- Storage- Pool- Air conditioned",not_scam,aggregator-platform listing or standard complex marketing
25,high,552,Grand Forks,ND,685.0,640,1.0,1.0,0,,0.9999549012097572,1,auto_template_body(NOT_SCAM),One BR 2650 26th Avenue S.,"This unit is located at 2650 26th Avenue S., Grand Forks, 58201, NDMonthly rental rates range from $685 - $910We have one - two beds units available for rent",not_scam,aggregator-platform listing or standard complex marketing
26,mid,28659,Oxon Hill,MD,1229.0,886,2.0,1.0,2,0.7717200842627113,0.5,-1,(none),Pet Friendly 2+1 Apartment in Oxon Hill. Pet OK!,"Experience ultimate Apartments in Oxon Hill, MD. South gives you everything you want in an Oxon Hill, MD apartment: a convenient location, excellent community amenities and lots of room to live. All of our stylish and spacious one-, two- and 3 beds apartments include eat-in kitchens, gas stoves and individually controlled heat and air. Plus, you'll have access to the pool and sundeck. And, did we the location You'll be close to the exciting shopping, dining and nightlife of National. South is a perfect choice for , convenient and comfortable apartments in Oxon Hill, MD. And, you're just a short hop to DC! Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Pet restrictions: Weight and breed restrictions apply. Parking Information: Open Parking: 1st come, 1st serve. More units available: two Bd / 1 Bedrooms 1,106 sq-ft for $1,437/mo | two Bd / 1 Bedrooms 1,288 sq.",not_scam,aggregator-platform listing or standard complex marketing
27,mid,55795,Lenexa,KS,986.0,920,2.0,2.0,0,0.8049725169421177,0.5,-1,(none),$986 / Two BR - Great Deal. MUST SEE!,"The new apartments youve been searching for in Lenexa can be found. Center Apartments. We provide spacious homes in a picturesque community, complete with a myriad of resident privileges. The fully remodeled exterior sets the scene for our established apartment homes. Though, its truly the interiors that are what set our apartments apart from the rest. Spacious, yet comfortable, these roomy one, two, and three beds floor plans are sure to delight. Our peaceful location is conveniently close to Interstate 435, and is minutes from the Lenexa City Center which boasts exceptional shopping, dining, and entertainment opportunities that the Kansas City area has to offer. Let us welcome you to The Pointe and come home to our apartments, where rest and relaxation is a part of the lifestyle!today! Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults. Utilities: Renter responsible for all utilities. Additional Charges: Renter's insurance required.",not_scam,aggregator-platform listing or standard complex marketing
28,mid,11724,Matawan,NJ,2265.0,1301,2.0,2.0,0,,0.5,-1,(none),Two BR Apartment - Live the lifestyle you.,"Square footage: 1301 square feet A brand new high-end apartment community offering spacious 1 and 2 beds apartment homes. With 9 ft ceilings, stainless appliances and premium granite counter tops, these are just a few of the outstanding features you will come home to! Our beautiful community will offer incredible convenience to its residents with shops and eateries below the apartments. The offers commuter convenience, the Matawan Aberdeen Railway station is just minutes away, and a NJ Transit bus community. Be the 1st to rent a 1st class apartment ! IMMEDIATE OCCUPANCY! LIMITED AVAILABILITY!TODAY & HEAR ABOUT OUR SPECIALS. More units available: one Bd / 1 Bedrooms 883 square feet for $1,845/mo | two Bd / 2 Bedrooms 1,434 square ft for $2,515/mo | one Bd / 1 Bedrooms 1,163 square ft for $2,015/mo | two Bd / 2 Bedrooms 1,267 sq-ft for $2,240/mo | one Bd / 1 Bedrooms 977 square feet for $1,995/mo | two Bd / 2 Bedrooms 1,299 sq-ft for $2,365/mo | one Bd / 1 Bedrooms 1,003 sq.",not_scam,aggregator-platform listing or standard complex marketing
29,mid,76177,Charlotte,NC,1324.0,617,1.0,1.0,0,0.9659852599038318,0.5,-1,(none),Indulge your Dilworth.,"Square footage: 617 sq-ft, unit number: 634. Our boutique inspired studio, 1 and 2 beds luxury apartment homes allow you to live in luxurious in Midtown. Live in Charlotte s most celebrated neighborhood, Dilworth, where an extensive collection of fine dining restaurants, coffee roasters, and purveyors of handcrafted cocktails are just steps from your front door. With sophisticated interiors featuring bright, white subway tiles and sharp, clean lines you will love the state of the art design of Berkshire Dilworth. Your new home will boast condo-quality appointments such as chef-inspired gourmet kitchens with granite counter tops and customized cabinets, state of the art satin nickel hardware & fixtures, wood inspired plank flooring, soaking tubs, walk-in showers with tile surrounds, and USB charging ports in each residence. More units available: one Bd / 1 Bedrooms 870 sq. feet for $1,590/mo | two Bd / 2.5 Bedrooms 1,619 sq.",not_scam,aggregator-platform listing or standard complex marketing
30,mid,24146,Greensboro,NC,1295.0,1555,4.0,2.5,1,1.7263551768550982,0.6978133255851797,1,zori_high(NOT_SCAM),Four BR Apartment in Greensboro,"Looking for luxurious in the Triad Look no further when you come to Juliet ! Juliet offers spacious 1 and 2 beds ok for pets floor plans with ample closet space, laundry hookups, and fully equipped kitchens. Some apartments include bright, airy sunrooms and soaring ceilings. Ideally located in the Greensboro area, Juliet is just minutes from downtown, UNCG, the Greensboro Coliseum Complex, 4 Seasons Town Centre Mall, Wet n Wild Emerald Pointe Water Park, and more! Enjoy all of the nearby shops, restaurants, museums, and attractions, and then return home to the peaceful comfort of Juliet. With our professional management office onsite team and 24-hr emergency maintenance services, you willll be sure to have a more carefree lifestyle!Be sure to ask us about our HOUSES that we also have Max two Pet per Apartment Breed Restrictions Apply. More units available: two Bd / 2 Bedrooms 1,218 square feet for $879/mo | two Bd / 2 Bedrooms 1,080 sq-ft for $799/mo |",unsure,low for 4BR with many amenities; could be floor price but Greensboro market unclear
31,mid,77750,San Diego,CA,2069.0,1094,3.0,2.0,0,1.0937860046565404,0.5,-1,(none),"San Diego - 3bd/Two BA 1,094sqft Apartment for rent","Welcome home to Summer Brook Apartments, a charming, pet friendly community located in sunny. At Summer Brook, you ll enjoy every comfort and convenience of home. Summer Brook is just minutes away from s major freeways, military bases, shopping and entertainment locales, as well as, bus and trolley lines. In addition, we re only 5 minutes from the beach! Make coming home to Summer Brook Apartments the best part of your day. Community Amenities Apartment Amenities. Ok for pets, Rent $50. 00, Deposit $500 Comments: Max of two Pets per Apartment. Breed Restrictions Apply Select Homes Only Price range: from $2,069 More units available: two Bd / 2 Bedrooms 918 square ft for $1,735/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,732/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,728/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,527/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,612/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,544/mo | two Bd / 2 Bedrooms 918 sq. feet for $1,746/mo | three Bd / 2 Bedrooms 1,094 sq.",not_scam,"standard complex/landlord marketing, no scam signals"
32,mid,79188,Scottsdale,AZ,1250.0,800,2.0,1.0,0,1.0011481827036572,0.5,-1,(none),MARK TODAY TO TAKE A TOUR OF YOUR NEW . Pet OK!,"HOT DEAL - $599 MOVE IN NO RENT TIL NOVEMBER & FREE APPLICATION. LIMITED TIME OFFER! ACT NOW! LIMITED ! 2 beds / 1 BATHROOMs - UP-TO-DATE SINGLE LEVEL CASITAS - 800 feet - $1250. Ideally located in the heart of Scottsdale Arizona. We offer convenient access to world class shopping, dining and Scottsdale entertainment. We are just minutes from exciting downtown Phoenix, where you will find many fine museums, libraries, and family entertainment. Easy access to the 101 & 202 freeways. You will love our warm and welcoming atmosphere from the moment you walk in. Come and visit us today.",not_scam,"standard complex/landlord marketing, no scam signals"
33,mid,51190,Elkhart,IN,690.0,700,2.0,1.0,1,,0.5,-1,(none),213 W. Sycamore,"Small 2 BEDROOMs, clean and peaceful. second floor. Private balcony, stable community.",not_scam,"standard complex/landlord marketing, no scam signals"
34,mid,69844,San Marcos,CA,3499.0,1201,2.0,2.0,2,1.72677303697268,0.5,-1,(none),"San Diego, prime location Two BR, Apartment","bringing next-level living and state of the art highrise building apartment living right to the heart of downtown. Designer residences, bay and ocean views, a sun-splashed pool and anmable lobby are all matched by 1 of the most walkable and vibrant locations in the city. o. More units available: one Bd / 1 Bedrooms 679 square ft for $2,525/mo | 0 Bd / 1 Bedrooms 537 square ft for $2,155/mo | one Bd / 1 Bedrooms 734 square feet for $2,790/mo | two Bd / 2 Bedrooms 1,104 sq-ft for $3,525/mo | one Bd / 1 Bedrooms 726 sq-ft for $3,145/mo | 0 Bd / 1 Bedrooms 537 sq-ft for $2,100/mo | two Bd / 2 Bedrooms 1,140 square ft for $3,600/mo | 0 Bd / 1 Bedrooms 537 sq. feet for $2,170/mo | 0 Bd / 1 Bedrooms 537 square feet for $2,025/mo | one Bd / 1 Bedrooms 739 square feet for $3,050/mo |",not_scam,"standard complex/landlord marketing, no scam signals"
35,mid,69310,Vienna,VA,1664.0,695,2.0,1.0,2,0.8886841211693727,0.5,-1,(none),Studio - Large & Bright,"Square footage: 695 sq. feet, unit number: 1117. Move in from to and receive 1/2 off your amenity $200 in savings! and waived standard secure deposit of $300 with approval when you sign an eleven month lease term. With Modera Avenir Apartments on the scene, it's fair to say that swank, urban living has made its to Vienna. Those of you who know French recognize immediately that the word ""avenir"" quite literally means future. And we like the inspiration inherent in that word: moving to Modera Avenir Apartments represents a new future. A better future. A more comfortable and plush future. It's hard to imagine a better location, seriously - Loring Metro - and access. Restaurants and shops are a stroll away, The Mosaic District and all its dining, entertainment and shopping options is a five-minute or a quick bike ride. The apartments are exquisitely state of the art with wood plank-style flooring, custom cabinetry, quartz counters and upgraded fixtures with clean, simple lines.",not_scam,"standard complex/landlord marketing, no scam signals"
36,mid,90861,Jamaica Plain,MA,2450.0,850,2.0,1.0,2,1.225406316756117,0.5,-1,(none),AVAILABLE JANUARY - Big and bright unit on a Prime JP !,"GUARANTY PROGRAM ACCEPTED! Convenient and close to all you could ask for. Features private back porch nice! hardwood flooring thru-out, contemporary bathroom, updated GRANITE/STAINLESS STEEL kitchen with eating area with new cabinets, shared laundry in basement, and tandem parking for rent seperate fee. Easy access to transit -. AND 39 bus right around the corner! And great local amenities right up the - Tres Gatos, Canary, Whole Foods and MORE! What're you waiting for today to schedule an appointment. 1st, LAST, $750 secure, $75 LOCK CHANGE, FULL FEE, LEASE UNTIL 5/31/19 with option to renew REQUIRED.",not_scam,"standard complex/landlord marketing, no scam signals"
37,mid,76066,Memphis,TN,692.0,945,2.0,1.0,0,0.8684552898929114,0.5,-1,(none),Memphis - 2bd/One BA 945sqft Apartment for rent. $692/mo,"It is often said that life has its rewards. Find your rewards Summit. Where luxurious and a premium location combine to make it all worthwhile. Where your surrounded by tall trees, serene lakes and lush grounds, with all the amenities and comforts of home that you deserve in Memphis. Where your only minutes away from shopping and entertainment, the heart of Memphis, or the highways that will take you anywhere. This is the to be. Come home to The Summit. Community Amenities Apartment Amenities. You have come to the right with your furry friends! Our community is a pet friendly community and we know you and your pet will enjoy living here. From nearby walking trails to the multiple pet stations throughout the property, you and your furry friend will be able to enjoy the outdoors together. Our nonrefundable pet is $300 per pet. There is a 2 pet limit. Monthly pet rent is $20 per pet. Best part is, we do not have a weight limit! We do, however, have some breed restrictions.",not_scam,"standard complex/landlord marketing, no scam signals"
38,mid,44461,Wendell,NC,795.0,973,2.0,1.0,0,,0.5,-1,(none),This Two BR One BA apartment is part of a duplex. $795/mo,"This apartment is located in rural Wendell. We take applications on anyone eighteen and over that would be living in the home. We check rental, employment, and criminal history. The household income also needs to be three times the rent. No pets. Cats not allowed, Dogs not allowed.",not_scam,"standard complex/landlord marketing, no scam signals"
39,mid,49409,Hyattsville,MD,2260.0,1168,2.0,2.0,2,1.3263668780413282,0.5,-1,(none),"Over 1,168 sf in Hyattsville","Square footage: 1168 sq-ft, unit number: 425. Paint yourself a life you in the Hyattsville Arts District, you can enjoy locally sourced dining right outside your and Poets, or host a pool-side barbeque with food from Yes! Organic market. Enjoy your chef-inspired kitchen, stunning wood-plank flooring and the community s rooftop deck with a fire pit, pool table and stunning city views. With several green features like environmentally friendly cleaning products and energy efficient light bulbs, you can have peace of mind for the planet here. Wake up every day in a that inspires you with District. Simply ahead of its time. From imaginative outdoor spaces to artistic indoor accents, the bright ideas just keep its a friendly game of pool on the roof, or a hot soak with your favorite book, Palette s timeless style will free your mind. Community Amenities Apartment Amenities.",not_scam,"standard complex/landlord marketing, no scam signals"
40,mid,44602,Pittsburgh,PA,1108.0,1047,2.0,1.0,2,1.3183886154189308,0.5,-1,(none),"$1,108/mo, 1,047 sq. ft. Two BR - must see to believe.","Square footage: 1047 sq. feet, unit number: 304. Avalon Apartments offers highrise building 1 and 2 beds apartments for rent in the city of Avalon. Your new home in the western suburbs of Pittsburgh, PA is minutes from downtown, shopping, and dining. Expansive yet cozy, Avalon floor plans feature outstanding city views and a completely equipped kitchen with dishwasher and garbage disposal. If comfort is what you seek, there is no better apartment community than Avalon Apartments. Pittsburgh was recently named the best city for retirement. More units available: two Bd / 1 Bedrooms 1,047 sq. feet for $948/mo | one Bd / 1 Bedrooms 832 square ft for $1,102/mo | two Bd / 1 Bedrooms 1,047 square ft for $937/mo | two Bd / 1 Bedrooms 1,047 square ft for $895/mo | two Bd / 1 Bedrooms 1,047 square feet for $881/mo | one Bd / 1 Bedrooms 832 sq-ft for $1,077/mo |",not_scam,"standard complex/landlord marketing, no scam signals"
41,low,65655,La Vista,NE,760.0,998,2.0,1.0,3,,0.298296179429227,0,long_detailed_body(NOT_SCAM),La Vista Value. $760/mo,"Square footage: 998 sq-ft, unit number: 123. Be a part of the Neighborhood: Ideally situated on a tree-lined in a single-family friendly La neighborhood. Inverness feature walk-in closets, added storage, and country kitchens. Outside, take advantage of green front lawns, mature trees and courtyards, a tranquil single-family setting, huge balconies and decks, pool access, and the benefits of rental living in a small apartment community. Visit in Omaha, Nebraska and discover La 's best value in apartment living. Our prime location that offers easy access to Papillion, Ralston, Offutt Air Force Base, and the 84th restaurant/shopping/entertainment corridor, combined with our very large living spaces, economical rates, and superb setting. Leasing Info. Lease Length: 1-12 mnths Please note leases shorter than 12 mons often have extra charges. Income Requirement: Must have 3. 5x the rent in total household income before taxes, include income from all adults. Charges. Utilities included: Trash.",not_scam,standard apartment complex marketing copy
42,low,24993,Cincinnati,OH,770.0,836,2.0,1.0,3,1.0357279165664202,0.298296179429227,0,long_detailed_body(NOT_SCAM),Two BR Apartment in Cincinnati,"A peaceful retreat in the middle of the city! Montana Valley Apartments in Cincinnati, Ohio, offers the best homes for anyone looking for peace and peaceful along with the convenience of being minutes from downtown Cincinnati, local universities and colleges, as well as I -75 and Interstate 74. Our residents love having a access controlled community, washer and dryer connections in their own homes and a sparkling pool just outside their front door. Whether you are searching for a one, 2 or 3 beds home, Montana Valley offers the perfect location and community for city goers and nature lovers alike! Community Amenities Apartment Amenities. Pet-friendly, Max weight 30 pound each, Rent $25. 00, Deposit $150 Comments: Pet deposit is due per pet. Pet rent is per pet, per month. Restrictions: Breed restrictions do apply. More units available: two Bd / 1 Bedrooms 925 square feet for $810/mo | two Bd / 1 Bedrooms 940 sq.",not_scam,standard apartment complex marketing copy
43,low,69031,Victorville,CA,995.0,950,2.0,1.0,6,,0.298296179429227,0,long_detailed_body(NOT_SCAM),Two BR - We are an apartment community in.,"California offering one, 2 and 3 beds apartments. Life is Manor. Our community comes with 1st-rate amenities, state of the art interiors, and professional on site management. Lounge by the pool, and or stroll through the ct. yard. All of our apartments come with a-c, ample closet space, and open kitchens. Spread out and unwind in Manor apartments for rent in, CA. Fairway Manor is centrally located, giving you access to gorgeous natural parks, shopping centers, and delicious restaurants. In addition, our community is seconds away from I-15. Whether you re relocating for school or for work, Fairway Manor is the for you. Apply for 1 of our apartments for rent in, CA today. Desert living never felt so good! You ll be delighted to make Fairway Manor your new home. Give us atoday!",not_scam,standard apartment complex marketing copy
44,low,60176,Saint Petersburg,FL,1330.0,962,2.0,2.0,7,1.0247090387341902,0.298296179429227,0,long_detailed_body(NOT_SCAM),Apartment in move in condition in St Petersburg. Pet OK!,"Square footage: 962 square ft, unit number: 0636K. Welcome Apartments Come live the ultimate life of Bay Apartments in. Petersburg, Florida. Our picturesque, lakeside community provides easy access to majestic beaches and the recreation that awaits. Downtown Tampa is minutes away and the nearby Interstate 275 is ready to transport you wherever your heart desires. Whether it is shopping, fine dining, or a stroll around the lake, Apartments is the for you. Choose from 7 spacious one, two, and three beds floor plans that will enrich your lifestyle. We have your comfort in Bay Apartments, and the proof is in the amenities. Our kitchens will exceed your expectations with GE energy efficient appliances, while you can take in the amazing landscaping from your balcony. Stylish crown moulding and generous walk-in closets will have you feeling like royalty. The pampering does not door. Refresh yourself in our shimmering swimming pool while you and your family enjoy the perfect picnic.",not_scam,standard apartment complex marketing copy
